Node,superkingdom,kingdom,phylum
10116, Eukaryota , Metazoa , Chordata 
10116, Eukaryota , Metazoa , Chordata 
10116, Eukaryota , Metazoa , Chordata 
284812, Eukaryota , Fungi , Ascomycota 
10090, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
284812, Eukaryota , Fungi , Ascomycota 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
83333, Bacteria , Other, Pseudomonadota 
83333, Bacteria , Other, Pseudomonadota 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
10090, Eukaryota , Metazoa , Chordata 
284812, Eukaryota , Fungi , Ascomycota 
559292, Eukaryota , Fungi , Ascomycota 
559292, Eukaryota , Fungi , Ascomycota 
559292, Eukaryota , Fungi , Ascomycota 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
559292, Eukaryota , Fungi , Ascomycota 
9606, Eukaryota , Metazoa , Chordata 
559292, Eukaryota , Fungi , Ascomycota 
3702, Eukaryota , Viridiplantae , Streptophyta 
9606, Eukaryota , Metazoa , Chordata 
10116, Eukaryota , Metazoa , Chordata 
559292, Eukaryota , Fungi , Ascomycota 
559292, Eukaryota , Fungi , Ascomycota 
10090, Eukaryota , Metazoa , Chordata 
10116, Eukaryota , Metazoa , Chordata 
10090, Eukaryota , Metazoa , Chordata 
170187, Bacteria , Other, Bacillota 
559292, Eukaryota , Fungi , Ascomycota 
559292, Eukaryota , Fungi , Ascomycota 
559292, Eukaryota , Fungi , Ascomycota 
39947, Eukaryota , Viridiplantae , Streptophyta 
10116, Eukaryota , Metazoa , Chordata 
10116, Eukaryota , Metazoa , Chordata 
9913, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9601, Eukaryota , Metazoa , Chordata 
10116, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
10116, Eukaryota , Metazoa , Chordata 
3702, Eukaryota , Viridiplantae , Streptophyta 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
10090, Eukaryota , Metazoa , Chordata 
3702, Eukaryota , Viridiplantae , Streptophyta 
9534, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
10090, Eukaryota , Metazoa , Chordata 
3702, Eukaryota , Viridiplantae , Streptophyta 
10090, Eukaryota , Metazoa , Chordata 
10090, Eukaryota , Metazoa , Chordata 
10090, Eukaryota , Metazoa , Chordata 
3702, Eukaryota , Viridiplantae , Streptophyta 
3702, Eukaryota , Viridiplantae , Streptophyta 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
10090, Eukaryota , Metazoa , Chordata 
10090, Eukaryota , Metazoa , Chordata 
10090, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
9606, Eukaryota , Metazoa , Chordata 
284812, Eukaryota , Fungi , Ascomycota 
9606, Eukaryota , Metazoa , Chordata 
1331196, Eukaryota , Fungi , Basidiomycota 
237561, Eukaryota , Fungi , Ascomycota 
9031, Eukaryota , Metazoa , Chordata 
9685, Eukaryota , Metazoa , Chordata 
9555, Eukaryota , Metazoa , Chordata 
9541, Eukaryota , Metazoa , Chordata 
9568, Eukaryota , Metazoa , Chordata 
379532, Eukaryota , Metazoa , Chordata 
61622, Eukaryota , Metazoa , Chordata 
9597, Eukaryota , Metazoa , Chordata 
9749, Eukaryota , Metazoa , Chordata 
9627, Eukaryota , Metazoa , Chordata 
9598, Eukaryota , Metazoa , Chordata 
1628268, Eukaryota , Other, Other
30608, Eukaryota , Metazoa , Chordata 
9689, Eukaryota , Metazoa , Chordata 
74533, Eukaryota , Metazoa , Chordata 
8508, Eukaryota , Metazoa , Chordata 
9615, Eukaryota , Metazoa , Chordata 
43049, Eukaryota , Fungi , Basidiomycota 
10116, Eukaryota , Metazoa , Chordata 
7227, Eukaryota , Metazoa , Arthropoda 
10116, Eukaryota , Metazoa , Chordata 
9823, Eukaryota , Metazoa , Chordata 
13616, Eukaryota , Metazoa , Chordata 
9544, Eukaryota , Metazoa , Chordata 
9483, Eukaryota , Metazoa , Chordata 
59463, Eukaryota , Metazoa , Chordata 
61853, Eukaryota , Metazoa , Chordata 
9986, Eukaryota , Metazoa , Chordata 
9598, Eukaryota , Metazoa , Chordata 
10029, Eukaryota , Metazoa , Chordata 
9785, Eukaryota , Metazoa , Chordata 
10141, Eukaryota , Metazoa , Chordata 
59729, Eukaryota , Metazoa , Chordata 
28377, Eukaryota , Metazoa , Chordata 
43179, Eukaryota , Metazoa , Chordata 
9601, Eukaryota , Metazoa , Chordata 
13735, Eukaryota , Metazoa , Chordata 
10116, Eukaryota , Metazoa , Chordata 
83333, Bacteria , Other, Pseudomonadota 
559292, Eukaryota , Fungi , Ascomycota 
